serial,name,inci,typeo,hlb

2007046,GlucoTain LiquiFlex,Lauroyl/Myristoyl Methyl Glucamide M,Sur FA,????,Bo,????? ???????? ?? ???? ????,????,???? ??? (?? ??????? ????? ????),.1-20 (??? 5.7 ???? ???? ????? ?????? ???????),3.5-10,,110.6
2007047,Glycerine-Paz,,,,,,,,,,,
2007048,Geogard ECT,,,,,,,,,,,
2007049,Galsoft NALS - Sarcosinate,,,,,,,,,,,
2008001,HONEY 2202330051 FRUTAROM,,,,,,,,,,,
2008002,HONEY 12907,,,,,,,,,,,6.5
2008003,HUNGARY PERFUME,,,,,,,,,,,
2008004,HAWAIN TROPIC PERFUME,,,,,,,,,,,-0.04
2008005,HGLC,,,,,,,,,,,
2008006,HERBAL TK 8957,,,,,,,,,,,
2008007,HEC-HYDROXYETHYLCELLULOSE,,,,,,,,,,,16.7
2008008,HUGO BOSS PERFUME,,,,,,,,,,,
2008009,HODIOR 22349C PERFUME,,,,,,,,,,,
2008010,HONEY (PURE),,,,,,,,,,,
2008011,HALOXYL,Aqua (and) Glycerin (and) Steareth-20 (and) N-Hydroxysuccinimide (and) Chrysin (and) Palmitoyl Tripeptide-1 (and) Palmitoyl Tetrapeptide-7,Ac,???????. ????? ?????? ??????,EYE,,"reinforce firmness and tone of the eye area,",,,,,0.53
2008012,HAMAMELIS EXTRACT,,,,,,,,,,,22.5
2008013,( HDK N20 )slisca - Wacker,,,,,,,,,,,
2008014,Horse Tail Extract,,,,,,,,,,,
2008015,Hydroquinone For synthesis,,,,,,,,,,,
2008016,HOSTAPON  SG- Clariant,Sodium Cocoyl Glycinate�,,,,,,,,,,165
2008017,Hombitan AFDC,,,,,,,,,,,50
2008018,Hemp oil,,,,,,,,,,,0.9
2008019,CELLOSIZE-CELLULOSE- DOW,,,,,,,,,,,25
2009001,INCA-AUDE PERFUME ARGEVILLE,,,,,,,,,,,
2009002,INCROQUAT-CARSOQUAT SDQ 25,,,,,,,,,,,-2
2009003,IPM - - -  ISOPROPYL MIRYSTATE,,condition,11,,,,,,,,74.02
2009004,IPP-- ISOPROPYL PALMITATE BERG,,,,,,,,,,,437.19
2009005,INCOQUAT BEHENYL TMC 85 (KDM),,,,,,,,,,,
2009006,IRGASAN DP-300,,,,,,,,,,,
2009007,INDUCCOS 10/5,,,,,,,,,,,
2009008,INVISASKIN MATRIX REBUILDER-O,,,,,,,,,,,7.09
2009009,INCROMECTANT LAMEA,Acetamide MEA (and) Lactamide MEA,,,,,,,,,,1.6
2009010,50-INCROQUAT BEHENYL TMS,,,,,,,,,,,
2009011,ISOCEL SLIM,,,,,,,,,,,
2009012,I.P.M- Ourorukia,,,,,,,,,,,
2009013,I.P.P- Ourikia,,,,,,,,,,,
2009014,Iso-Slim Complex- Baz,,,,,,,,,,,0.79
2009015,Isahexadecane,,,,,,,,,,,15.6
2009016,Inca OIL,,,,,,,,,,,
2009017,inotek SL1,,,,,,,,,,,
2009018,* Iodide   *  potassium,,,,,,,,,,,0.25
2010001,JAZZ  PERFUME BELMAY,,,,,,,,,,,
2010002,JOJOBA OIL,,,,,,,,,,,40.31
2010003,JAGUAR EXCEL,,,,,,,,,,,
2010004,JUNIPER OIL,,,,,,,,,,,2.06
2010005,JASMINE oil,,,,,,,,,,,
2010006,Jeeslilc IDD,,,,,,,,,,,
2010007,Jeequat SDQ-85,,,,,,,,,,,0.01
2010008,Jaguar C-14,,,,,,,,,,,7.35
2010009,Jaguar C162,,,,,,,,,,,
2010010,jeepon ac 78,,,,,,,,,,,
2011001,KAOLIN,,,,,,,,,,,43.8
2011002,KuKui Nut Oil,,,,,,,,,,,
2011003,Keratin protein,,,,,,,,,,,-0.88
2011004,KAK DIBA- Moriroku chemicalsl,,,,,,,,,,,-0.39
2011005,Keltrol CG-T- Sh-ankol,,,,,,,,,,,42.9
2011006,Kombushka - NONA,,,,,,,,,,,1.77
2011007,Kalan-Moshe-Zak,,,,,,,,,,,
